P,PdVPr,x,x1,x2,x3,y,y1,y2,y3
EVS,MLR(1/3) v DDD(1),1197,399,399,399,-584,-189,-213,-183
SVA,MLR(1) v DDD(0),12576,5667,5713,1196,-5938,-1239,-2510,-2190
SVE,MLR(1) v DDD(1/3),8308,3281,3850,1176,-3371,-1124,-1124,-1124
SVS,MLR(1) v DDD(1),3292,1361,1395,535,-1374,-669,-417,-289
AVA,MDR(0) v MMR(0),2349,793,768,786,-5079,-1882,-1778,-1420
AVE,MDR(0) v MMR(1/3),2690,870,848,971,-3160,-1054,-1054,-1054
AVS,MDR(0) v MMR(1),1690,607,546,536,-2372,-193,-202,-1978
EVA,MDR(1/3) v MMR(0),5841,1947,1947,1947,-4990,-1785,-1795,-1410
EVE,MDR(1/3) v MMR(1/3),5801,1933,1933,1933,-4539,-1513,-1513,-1513
EVS,MDR(1/3) v MMR(1),4935,1645,1645,1645,-3425,-198,-236,-2992
SVA,MDR(1) v MMR(0),14298,6159,7002,1135,-8122,-2678,-3110,-2335
SVE,MDR(1) v MMR(1/3),11567,4321,6074,1171,-7073,-2358,-2358,-2358
SVS,MDR(1) v MMR(1),6039,3234,1901,904,-4084,-559,-291,-3236
AVA,MMR(0) v MDR(0),2436,800,829,806,-5009,-1921,-1995,-1094
AVE,MMR(0) v MDR(1/3),2649,850,878,920,-3154,-1052,-1052,-1052
AVS,MMR(0) v MDR(1),1584,535,499,549,-2576,-219,-165,-2193
EVA,MMR(1/3) v MDR(0),6372,2124,2124,2124,-5458,-1732,-2192,-1534
EVE,MMR(1/3) v MDR(1/3),6336,2112,2112,2112,-4211,-1404,-1404,-1404
EVS,MMR(1/3) v MDR(1),2956,985,985,985,-3802,-210,-216,-3377
SVA,MMR(1) v MDR(0),10208,4729,4522,956,-7109,-2901,-3009,-1200
SVE,MMR(1) v MDR(1/3),11938,4682,6310,945,-7223,-2408,-2408,-2408
SVS,MMR(1) v MDR(1),4773,2126,1889,757,-4751,-1040,-209,-3503
AVA,MLR(0) v MLR(0),2469,790,870,807,-4333,-1651,-1577,-1106
AVE,MLR(0) v MLR(1/3),2543,840,825,877,-3332,-1111,-1111,-1111
AVS,MLR(0) v MLR(1),1939,654,623,661,-2416,-222,-243,-1952
EVA,MLR(1/3) v MLR(0),4099,1366,1366,1366,-6532,-2432,-2361,-1739 s
EVE,MLR(1/3) v MLR(1/3),9692,3230,3230,3230,-6177,-2059,-2059,-2059
EVS,MLR(1/3) v MLR(1),2142,714,714,714,-3125,-248,-302,-2577
SVA,MLR(1) v MLR(0),11377,5530,4823,1022,-7629,-2490,-3134,-2005
SVE,MLR(1) v MLR(1/3),11172,5360,4828,984,-6681,-2227,-2227,-2227
SVS,MLR(1) v MLR(1),6034,3063,2131,838,-4284,-921,-358,-3006
AVA,MDD(0) v LLR(0),2481,820,837,823,-4891,-1866,-1713,-1313
AVE,MDD(0) v LLR(1/3),3113,1034,1008,1070,-2852,-951,-951,-951
AVS,MDD(0) v LLR(1),1518,488,531,498,-3432,-184,-186,-3063
EVA,MDD(1/3) v LLR(0),7236,2412,2412,2412,-5866,-1749,-2283,-1834
EVE,MDD(1/3) v LLR(1/3),7910,2636,2636,2636,-4902,-1634,-1634,-1634
EVS,MDD(1/3) v LLR(1),6172,2057,2057,2057,-4242,-215,-342,-3686
SVA,MDD(1) v LLR(0),19142,5635,6977,6529,-9316,-3487,-3725,-2105
SVE,MDD(1) v LLR(1/3),16584,6555,3917,6110,-7966,-2656,-2656,-2656
SVS,MDD(1) v LLR(1),9733,2516,5513,1703,-5261,-1163,-554,-3545
AVA,MDL(0) v LDR(0),3302,1113,1086,1102,-4342,-1597,-1714,-1032
AVE,MDL(0) v LDR(1/3),2656,888,859,908,-4447,-1483,-1483,-1483
AVS,MDL(0) v LDR(1),1659,577,537,545,-2693,-213,-178,-2303
EVA,MDL(1/3) v LDR(0),5958,1986,1986,1986,-5804,-1917,-2102,-1786
EVE,MDL(1/3) v LDR(1/3),8287,2762,2762,2762,-5137,-1713,-1713,-1713
EVS,MDL(1/3) v LDR(1),6252,2084,2084,2084,-4317,-236,-261,-3821
SVA,MDL(1) v LDR(0),18368,5765,6775,5827,-9196,-3115,-3695,-2386
SVE,MDL(1) v LDR(1/3),11959,5490,3342,3125,-6362,-2121,-2121,-2121
SVS,MDL(1) v LDR(1),6870,2746,2038,2086,-5027,-996,-481,-3551
AVA,MDD(0) v MLL(0),3154,1036,1069,1047,-2558,-852,-867,-840
AVE,MDD(0) v MLL(1/3),2054,708,677,667,-890,-297,-297,-297
AVS,MDD(0) v MLL(1),1212,389,404,418,-531,-171,-189,-172
EVA,MDD(1/3) v MLL(0),5301,1767,1767,1767,-3593,-1288,-1312,-994
EVE,MDD(1/3) v MLL(1/3),3931,1310,1310,1310,-1749,-583,-583,-583
EVS,MDD(1/3) v MLL(1),1670,556,556,556,-826,-391,-242,-195
SVA,MDD(1) v MLL(0),18591,5868,6838,5885,-7811,-3370,-2014,-2428
SVE,MDD(1) v MLL(1/3),8358,3548,2035,2774,-3396,-1132,-1132,-1132
SVS,MDD(1) v MLL(1),4278,1588,1360,1328,-1905,-796,-731,-378
AVA,MDR(0) v LDR(0),2447,844,803,799,-4219,-1564,-1709,-947
AVE,MDR(0) v LDR(1/3),2798,943,856,997,-3272,-1091,-1091,-1091
