PdVPr,x,x1,x2,y,y1,y2
LL(0.9) v MR(0.7),5087,2967,2119,-5203,-1844,-3360
LL(0.9) v MR(0.9),6715,3411,3304,-6064,-758,-5307
LL(0.9) v MR(1),4798,2472,2326,-5442,-336,-5106
LL(1) v MR(0),7609,4070,3538,-7648,-5435,-2213
LL(1) v MR(0.1),7384,3449,3934,-7909,-4157,-3753
LL(1) v MR(0.3),6718,3871,2847,-6677,-3440,-3238
LL(1) v MR(0.5),8409,4743,3665,-5896,-2948,-2948
LL(1) v MR(0.7),5249,2358,2891,-5748,-1910,-3839
LL(1) v MR(0.9),6368,3251,3117,-5620,-804,-4817
LL(1) v MR(1),6859,3363,3496,-5446,-296,-5150
RR(0) v ML(0),790,377,412,-1547,-837,-711
RR(0) v ML(0.1),650,327,322,-707,-367,-340
RR(0) v ML(0.3),686,353,333,-434,-218,-216
RR(0) v ML(0.5),294,160,133,-219,-110,-110
RR(0) v ML(0.7),224,102,122,-162,-84,-79
RR(0) v ML(0.9),219,92,127,-187,-97,-91
RR(0) v ML(1),195,105,89,-155,-80,-76
RR(0.1) v ML(0),718,357,360,-904,-448,-456
RR(0.1) v ML(0.1),694,352,342,-753,-364,-390
RR(0.1) v ML(0.3),666,323,343,-438,-224,-214
RR(0.1) v ML(0.5),317,133,183,-231,-116,-116
RR(0.1) v ML(0.7),216,107,108,-165,-82,-83
RR(0.1) v ML(0.9),199,106,92,-155,-75,-80
RR(0.1) v ML(1),205,105,100,-155,-77,-79
RR(0.3) v ML(0),755,375,379,-1247,-676,-571
RR(0.3) v ML(0.1),652,323,328,-725,-370,-355
RR(0.3) v ML(0.3),707,359,347,-482,-238,-245
RR(0.3) v ML(0.5),304,160,144,-236,-118,-118
RR(0.3) v ML(0.7),215,106,109,-170,-85,-86
RR(0.3) v ML(0.9),162,82,79,-136,-68,-68
RR(0.3) v ML(1),195,94,101,-143,-75,-68
RR(0.5) v ML(0),610,305,305,-1003,-506,-497
RR(0.5) v ML(0.1),669,334,334,-673,-328,-345
RR(0.5) v ML(0.3),649,324,324,-414,-212,-203
RR(0.5) v ML(0.5),393,196,196,-288,-144,-144
RR(0.5) v ML(0.7),193,96,96,-155,-78,-78
RR(0.5) v ML(0.9),165,82,82,-141,-68,-74
RR(0.5) v ML(1),177,88,88,-152,-75,-77
RR(0.7) v ML(0),736,371,364,-1413,-705,-709
RR(0.7) v ML(0.1),617,307,309,-708,-350,-359
RR(0.7) v ML(0.3),626,326,299,-436,-216,-221
RR(0.7) v ML(0.5),347,158,189,-228,-114,-114
RR(0.7) v ML(0.7),192,97,95,-147,-74,-74
RR(0.7) v ML(0.9),204,104,100,-160,-76,-84
RR(0.7) v ML(1),152,76,75,-131,-59,-73
RR(0.9) v ML(0),723,370,353,-1102,-503,-600
RR(0.9) v ML(0.1),711,366,344,-808,-415,-394
RR(0.9) v ML(0.3),548,264,284,-384,-191,-193
RR(0.9) v ML(0.5),304,162,141,-238,-119,-119
RR(0.9) v ML(0.7),195,85,109,-166,-80,-87
RR(0.9) v ML(0.9),206,115,90,-163,-90,-74
RR(0.9) v ML(1),190,101,89,-161,-79,-83
RR(1) v ML(0),649,266,383,-1349,-631,-718
RR(1) v ML(0.1),575,320,255,-655,-336,-319
RR(1) v ML(0.3),741,351,390,-471,-237,-234
RR(1) v ML(0.5),333,182,150,-230,-115,-115
RR(1) v ML(0.7),165,80,84,-137,-69,-68
RR(1) v ML(0.9),192,101,90,-146,-77,-70
RR(1) v ML(1),218,94,124,-163,-86,-78
MD(0) v MD(0),919,482,437,-1353,-723,-630
MD(0) v MD(0.1),687,331,356,-679,-332,-347
MD(0) v MD(0.3),925,445,479,-680,-331,-350
MD(0) v MD(0.5),272,154,118,-221,-111,-111
